ETABLISSEMENT;PRIVE.PUBLIQUE;DEGRE;DENOMINATION;NOM_ECOLE;STATUT;ADRESSE;VILLE;ADRESS;LATITUDE;LONGITUDE;icon
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE D'APPLICATION;LAVOISIER;NON DEMANDE;2 RUE PAUL BRUGIER 86100;CHATELLERAULT;ECOLE PRIMAIRE D'APPLICATION ANTOINE LAURENT DE LAVOISIER, AVENUE DU PROFESSEUR GUERIN, CHATELLERAULT, VIENNE, NOUVELLE-AQUITAINE, FRANCE METROPOLITAINE, 86100, FRANCE;46,80314035;0,544223153;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;MAILLE;NON DEMANDE;2 RUE PICARD 86190;MAILLE;2 RUE PICARD 86190, MAILLE;46,6781063;0,0904304;www/black.png
PREMIER DEGRE PRIVE;PRIVE;ECOLE;ECOLE PRIMAIRE PRIVEE;SAINT-JOSEPH;NON DEMANDE;2 RUE SAINT-PIERRE 86350;USSON DU POITOU;2 RUE SAINT-PIERRE 86350, USSON DU POITOU;46,27865353;0,528741811;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;SOSSAIS;NON DEMANDE;20 ROUTE DE LENCLOITRE 86230;SOSSAIS;20 ROUTE DE LENCLOITRE 86230, SOSSAIS;46,85758635;0,384424617;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;ERNEST PEROCHON;NON DEMANDE;20 RUE BLAISE PASCAL, LES PRES MIGNONS, VIENNE, NOUVELLE-AQUITAINE, FRANCE METROPOLITAINE, 86000, FRANCE, POITIERS;POITIERS;20 RUE BLAISE PASCAL, LES PRES MIGNONS, VIENNE, NOUVELLE-AQUITAINE, FRANCE METROPOLITAINE, 86000, FRANCE, POITIERS, POITIERS;46,5671653;0,3189768;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;ERNEST PEROCHON;NON DEMANDE;20 RUE BLAISE PASCAL, LES PRES MIGNONS, VIENNE, NOUVELLE-AQUITAINE, FRANCE METROPOLITAINE, 86000, FRANCE, POITIERS;POITIERS;20 RUE BLAISE PASCAL, LES PRES MIGNONS, VIENNE, NOUVELLE-AQUITAINE, FRANCE METROPOLITAINE, 86000, FRANCE, POITIERS, POITIERS;46,5671653;0,3189768;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE ELEMENTAIRE PUBLIQUE;BETHINES;NON DEMANDE;20 RUE DE LA FONTAINE 86310;BETHINES;20 RUE DE LA FONTAINE 86310, BETHINES;46,54562799;0,978960414;www/black.png
PREMIER DEGRE PRIVE;PRIVE;ECOLE;ECOLE PRIMAIRE PRIVEE;STE ELISABETH;NON DEMANDE;20 RUE DE LA LIBERTE 86290;LA TRIMOUILLE;20 RUE DE LA LIBERTE 86290, LA TRIMOUILLE;46,46626587;1,038221129;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE D'APPLICATION;D.ALLARD-J.FERRY;NON DEMANDE;20 RUE JULES FERRY 86000;POITIERS;20 RUE JULES FERRY 86000, POITIERS;46,5749331;0,3301527;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;PAUL PAINLEVE;NON DEMANDE;21 CHEMIN DE LA MARRONNERIE 86100;CHATELLERAULT;21 CHEMIN DE LA MARRONNERIE 86100, CHATELLERAULT;46,80644202;0,549679917;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;LA PUYE;NON DEMANDE;21 PLACE DE LA MAIRIE 86260;LA PUYE;21 PLACE DE LA MAIRIE 86260, LA PUYE;46,64300646;0,75337918;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE;USSON DU POITOU;NON DEMANDE;21 RUE DU GENERAL DE GAULLE 86350;USSON DU POITOU;21 RUE DU GENERAL DE GAULLE 86350, USSON DU POITOU;46,27725705;0,531409543;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;GOUEX;NON DEMANDE;22 PLACE DES DROITS DE L'HOMME 86320;GOUEX;22 PLACE DES DROITS DE L'HOMME 86320, GOUEX;46,36507994;0,689030494;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE;LES GUIRAUDIERES;NON DEMANDE;22 RUE DES BOIS GALANTS 86300;CHAUVIGNY;22 RUE DES BOIS GALANTS 86300, CHAUVIGNY;46,5650968;0,6345427;www/black.png
PREMIER DEGRE PRIVE;PRIVE;ECOLE;ECOLE PRIMAIRE PRIVEE;JEANNE D ARC;NON DEMANDE;23 RUE ARMAND CAILLARD 86170;NEUVILLE DE POITOU;23 RUE ARMAND CAILLARD 86170, NEUVILLE DE POITOU;46,68836161;0,244956031;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;SAULGE;NON DEMANDE;23 RUE BEC DES DEUX EAUX 86500;SAULGE;23 RUE BEC DES DEUX EAUX 86500, SAULGE;46,37729756;0,876487368;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE;ANDRE CAVARD;NON DEMANDE;23 RUE DES ECOLES 86310;NALLIERS;23 RUE DES ECOLES 86310, NALLIERS;46,5997523;0,8701795;www/black.png
PREMIER DEGRE PRIVE;PRIVE;ECOLE;ECOLE PRIMAIRE PRIVEE;FREDERIC OZANAM;NON DEMANDE;23 RUE DU CHANTRE 86290;BRIGUEIL LE CHANTRE;23 RUE DU CHANTRE 86290, BRIGUEIL LE CHANTRE;46,39482115;1,087422291;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;TARGE;NON DEMANDE;23 RUE PAUL FORT 86100;CHATELLERAULT;23 RUE PAUL FORT 86100, CHATELLERAULT;46,78978495;0,57734069;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;MONTMIDI;NON DEMANDE;24 RUE DE MONTMIDI 86000;POITIERS;24 RUE DE MONTMIDI 86000, POITIERS;46,57906688;0,323872371;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;EVARISTE GALOIS;NON DEMANDE;2-4 RUE EVARISTE GALOIS, LA GANTERIE, VIENNE, NOUVELLE-AQUITAINE, FRANCE METROPOLITAINE, 86000, FRANCE;POITIERS;2-4 RUE EVARISTE GALOIS, LA GANTERIE, VIENNE, NOUVELLE-AQUITAINE, FRANCE METROPOLITAINE, 86000, FRANCE, POITIERS;46,56800011;0,369009474;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;FRANCE SOUCHE;NON DEMANDE;24 RUE MARCEL COUBRAT 86100;CHATELLERAULT;24 RUE MARCEL COUBRAT 86100, CHATELLERAULT;46,81951162;0,53414987;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;CHINCE;NON DEMANDE;24 RUE MOULIN CHAPERON 86130;JAUNAY MARIGNY;24 RUE MOULIN CHAPERON 86130, JAUNAY MARIGNY;46,71049427;0,351059474;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;LA GRANGE SAINT PIERRE;NON DEMANDE;24 RUE OLIVIER DE SERRES 86000;POITIERS;24 RUE OLIVIER DE SERRES 86000, POITIERS;46,5982442;0,3326528;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;MARCEL PAGNOL;NON DEMANDE;25 RUE DE LA JEUNESSE 86000;POITIERS;25 RUE DE LA JEUNESSE 86000, POITIERS;46,56666585;0,312624948;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;LA GRANGE SAINT PIERRE;NON DEMANDE;26 RUE OLIVIER DE SERRES 86000;POITIERS;26 RUE OLIVIER DE SERRES 86000, POITIERS;46,5981717;0,3324767;www/black.png
PREMIER DEGRE PRIVE;PRIVE;ECOLE;ECOLE PRIMAIRE PRIVEE;LA PROVIDENCE;NON DEMANDE;26 RUE RENE DESCARTES 86000;POITIERS;26 RUE RENE DESCARTES 86000, POITIERS;46,5847234;0,3417689;www/black.png
SECOND DEGRE PRIVE;PRIVE;COLLEGE;COLLEGE;SAINT-GABRIEL NOTRE-DAME;NON DEMANDE;27 RUE DU VIEUX PALAIS 86108;CHATELLERAULT;27 RUE DU VIEUX PALAIS 86108, CHATELLERAULT;46,815508;0,542152;www/black.png
PREMIER DEGRE PRIVE;PRIVE;ECOLE;ECOLE PRIMAIRE PRIVEE;SAINT-GABRIEL NOTRE-DAME;NON DEMANDE;27 RUE DU VIEUX PALAIS 86108;CHATELLERAULT ;27 RUE DU VIEUX PALAIS 86108, CHATELLERAULT ;46,815508;0,542152;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;MARIE CARPANTIER;NON DEMANDE;28 AVENUE DU GENERAL DE GAULLE 86100;CHATELLERAULT;28 AVENUE DU GENERAL DE GAULLE 86100, CHATELLERAULT;46,82311927;0,54644937;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;COULOMBIERS;NON DEMANDE;28 ROUTE NATIONALE 86600;COULOMBIERS;28 ROUTE NATIONALE 86600, COULOMBIERS;46,50281461;0,20977956;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;VILLE BASSE;NON DEMANDE;28 RUE JULES FERRY 86500;MONTMORILLON;28 RUE JULES FERRY 86500, MONTMORILLON;46,4249923;0,8745678;www/black.png
PREMIER DEGRE PRIVE;PRIVE;ECOLE;ECOLE PRIMAIRE PRIVEE;NOTRE DAME;NON DEMANDE;3 IMPASSE DE L'ESSART 86300;CHAUVIGNY;3 IMPASSE DE L'ESSART 86300, CHAUVIGNY;46,5597401;0,6258185;www/black.png
PREMIER DEGRE PRIVE;PRIVE;ECOLE;ECOLE PRIMAIRE PRIVEE;UNION CHRETIENNE;NON DEMANDE;3 IMPASSE SAINTE RADEGONDE 86011;POITIERS;3 IMPASSE SAINTE RADEGONDE 86011, POITIERS;46,5793846;0,3515795;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;RENE MABILEAU;NON DEMANDE;3 ROUTE DE MAZEUIL 86330;ST JEAN DE SAUVES;3 ROUTE DE MAZEUIL 86330, ST JEAN DE SAUVES;46,8397479;0,0924158;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;CHATEAU GARNIER;NON DEMANDE;3 RUE ALFRED BOUCHARD 86350;CHATEAU GARNIER;3 RUE ALFRED BOUCHARD 86350, CHATEAU GARNIER;46,25684932;0,426221683;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;PORT DE PILES;NON DEMANDE;3 RUE CORDRIE 86220;PORT DE PILES;3 RUE CORDRIE 86220, PORT DE PILES;47,00314835;0,599268393;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;ITEUIL;NON DEMANDE;3 RUE D'AIGNE 86240;ITEUIL;3 RUE D'AIGNE 86240, ITEUIL;46,48369824;0,305045616;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;ITEUIL;NON DEMANDE;3 RUE D'AIGNE 86240;ITEUIL;3 RUE D'AIGNE 86240, ITEUIL;46,48369824;0,305045616;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE ELEMENTAIRE PUBLIQUE;PETIT BOIS;NON DEMANDE;3 RUE DE BRAUNSBACH 86190;VOUILLE;3 RUE DE BRAUNSBACH 86190, VOUILLE;46,6430391;0,1646202;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;VEZIERES;NON DEMANDE;3 RUE DE LA CROULE 86120;VEZIERES;3 RUE DE LA CROULE 86120, VEZIERES;47,08419943;0,097616625;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;LA TRIMOUILLE;NON DEMANDE;3 RUE DE LA LIBERTE 86290;LA TRIMOUILLE;3 RUE DE LA LIBERTE 86290, LA TRIMOUILLE;46,46626587;1,038221129;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;PORTE DE PARIS;NON DEMANDE;3 RUE DE L'INTENDANT LE NAIN 86000;POITIERS;3 RUE DE L'INTENDANT LE NAIN 86000, POITIERS;46,5911305;0,3404099;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;INGRANDES;NON DEMANDE;3 RUE DES ECOLES 86220;INGRANDES;3 RUE DES ECOLES 86220, INGRANDES;46,87622503;0,5691287;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;OUZILLY;NON DEMANDE;3 RUE DES ECOLES 86380;OUZILLY;3 RUE DES ECOLES 86380, OUZILLY;46,7755274;0,3595006;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;CHARLES CHOISIE;NON DEMANDE;3 RUE DU CLOS 86360;MONTAMISE;3 RUE DU CLOS 86360, MONTAMISE;46,6205124;0,4252758;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;HENRI MATISSE;NON DEMANDE;3 RUE EMILE LITTRE 86100;CHATELLERAULT;3 RUE EMILE LITTRE 86100, CHATELLERAULT;46,806752;0,541432407;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;MOUTERRE SILLY;NON DEMANDE;3 RUE JULES FERRY 86200;MOUTERRE SILLY;3 RUE JULES FERRY 86200, MOUTERRE SILLY;46,9758483;0,0454221;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;MONTMIDI;NON DEMANDE;3 RUE PAUL LANGEVIN 86000;POITIERS;3 RUE PAUL LANGEVIN 86000, POITIERS;46,57899144;0,324885537;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;LAVAUSSEAU;NON DEMANDE;30 GRAND'RUE 86470;LAVAUSSEAU;30 GRAND'RUE 86470, LAVAUSSEAU;46,56110835;0,075084268;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;DU PALAIS;NON DEMANDE;30 RUE NATIONALE 86600;COULOMBIERS;ECOLE PRIMAIRE COULOMBIERS, ROUTE NATIONALE, LA METAIRIE, LA GUESSERIE, COULOMBIERS, POITIERS, VIENNE, NOUVELLE-AQUITAINE, FRANCE METROPOLITAINE, 86600, FRANCE;46,4840379;0,1850448;www/black.png
SECOND DEGRE PUBLIQUE;PUBLIQUE;COLLEGE;COLLEGE;BELLEVUE;NON DEMANDE;31 RUE DU COLLEGE 86220;DANGE-SAINT-ROMAIN;31 RUE DU COLLEGE 86220, DANGE-SAINT-ROMAIN;46,9309845;0,603419434;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;PETIT TOUR;NON DEMANDE;32 RUE DU PETIT TOUR 86000;POITIERS;32 RUE DU PETIT TOUR 86000, POITIERS;46,5719329;0,3621073;www/black.png
SECOND DEGRE PRIVE;PRIVE;COLLEGE;COLLEGE;CHAVAGNES SAINT-JOSEPH;NON DEMANDE;33 RUE PORTE SAINT-NICOLAS 86201;LOUDUN;33 RUE PORTE SAINT-NICOLAS 86201, LOUDUN;47,01183652;0,07877462;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;GEORGES POMPIDOU;NON DEMANDE;34 RUE DES BUXIERES 86220;LES ORMES;ECOLE PRIMAIRE GEORGES POMPIDOU, 34, RUE DE BUXIERES, LA POINTE, LES ORMES, CHATELLERAULT, VIENNE, NOUVELLE-AQUITAINE, FRANCE METROPOLITAINE, 86220, FRANCE;46,9668831;0,604261587;www/black.png
PREMIER DEGRE PRIVE;PRIVE;ECOLE;ECOLE PRIMAIRE PRIVEE;SACRE-COEUR;NON DEMANDE;34 RUE DU 8 MAI 1945 86210;BONNEUIL MATOURS;34 RUE DU 8 MAI 1945 86210, BONNEUIL MATOURS;46,68127405;0,574665943;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;JEAN BORIAUD;NON DEMANDE;35 RUE DES ECOLES 86580;BIARD;35 RUE DES ECOLES 86580, BIARD;46,578305;0,304767027;www/black.png
PREMIER DEGRE PRIVE;PRIVE;ECOLE;ECOLE ELEMENTAIRE PRIVEE;LE PRE VERT;NON DEMANDE;37 ROUTE DE PARTHENAY 86190;AYRON;37 ROUTE DE PARTHENAY 86190, AYRON;46,65936841;0,069257773;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;PRESSAC;NON DEMANDE;39 RUE DU BOIS DE LA JARTE 86460;PRESSAC;39 RUE DU BOIS DE LA JARTE 86460, PRESSAC;46,1158622;0,5672;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;BOIVRE LA VALLEE;NON DEMANDE;3E RUE DE LA MAIRIE 86470;BOIVRE LA VALLEE;3E RUE DE LA MAIRIE 86470, BOIVRE LA VALLEE;46,53462805;0,114866886;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;ALPHONSE BOULOUX;NON DEMANDE;4 ALLEE DE CHITRE 86000;POITIERS;4 ALLEE DE CHITRE 86000, POITIERS;46,57407368;0,379393725;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE;MAUPREVOIR;NON DEMANDE;4 ALLEE DES PROMENADES 86460;MAUPREVOIR;ALLEE DE LA PROMENADE, CHARBON BLANC, MAUPREVOIR, MONTMORILLON, VIENNE, NOUVELLE-AQUITAINE, FRANCE METROPOLITAINE, 86460, FRANCE;46,17104012;0,516303724;www/black.png
PREMIER DEGRE PRIVE;PRIVE;ECOLE;ECOLE PRIMAIRE PRIVEE;NOTRE-DAME ESPERANCE;NON DEMANDE;4 AVENUE CHAMP DE LA CAILLE 86280;ST BENOIT;4 AVENUE CHAMP DE LA CAILLE 86280, ST BENOIT;46,55776039;0,344372861;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;LIZANT;NON DEMANDE;4 CHEMIN DES ECOLIERS 86400;LIZANT;RUE DES ECOLIERS, CHEZ MOQUERAT, LA FRAGNEE, LIZANT, MONTMORILLON, VIENNE, NOUVELLE-AQUITAINE, FRANCE METROPOLITAINE, 86400, FRANCE;46,08307817;0,280834533;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE ELEMENTAIRE PUBLIQUE;ROBERT DOMINEAU;NON DEMANDE;4 PLACE CAMILLE LOMBARD 86480;ROUILLE;ECOLE PRIMAIRE ROBERT DOMINEAU, 4, RUE DE L'AUGERIE, L'AUGERIE, ROUILLE, POITIERS, VIENNE, NOUVELLE-AQUITAINE, FRANCE METROPOLITAINE, 86480, FRANCE;46,41824205;0,043244237;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;QUINCAY;NON DEMANDE;4 PLACE CHAMP DE LA BATAILLE 86190;QUINCAY;ECOLE PRIMAIRE QUINcAY, 4, RUE BUISSONNIERE, QUINcAY, POITIERS, VIENNE, NOUVELLE-AQUITAINE, FRANCE METROPOLITAINE, 86190, FRANCE;46,6095194;0,2289301;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE DE HAIMS;HAIMS;NON DEMANDE;4 PLACE DE L'EGLISE 86310;HAIMS;4 PLACE DE L'EGLISE 86310, HAIMS;46,50265117;0,918129975;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;LEODILE BERA;NON DEMANDE;4 PLACE DES ECOLES 86600;LUSIGNAN;4 PLACE DES ECOLES 86600, LUSIGNAN;46,4373061;0,1163381;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;ELISABETH BADINTER;NON DEMANDE;4 PLACE HENRI HUYARD 86800;ST JULIEN L ARS;35, RUE DE CHAUVIGNY, JEUNE-AVAILLE, SAINT-JULIEN-L'ARS, POITIERS, VIENNE, NOUVELLE-AQUITAINE, FRANCE METROPOLITAINE, 86800, FRANCE;46,5585173;0,5115429;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;USSEAU;NON DEMANDE;4 PLACE MAURICE BEDEL 86230;USSEAU;4 PLACE MAURICE BEDEL 86230, USSEAU;46,875856;0,509531833;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;PERLE D'EAU;NON DEMANDE;4 RUE DE CHINCE 86600;CELLE LEVESCAULT;4 RUE DE CHINCE 86600, CELLE LEVESCAULT;46,42709533;0,186151458;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;BONNES;NON DEMANDE;4 RUE DE LA LIMOUZINERIE 86300;BONNES;ECOLE PRIMAIRE BONNES, 4, RUE DE LA LIMOUSINERIE, LES MINETIERES, BONNES, POITIERS, VIENNE, NOUVELLE-AQUITAINE, FRANCE METROPOLITAINE, 86300, FRANCE;46,6055999;0,5958584;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE;LES ALIZES;NON DEMANDE;4 RUE DE LA MAIRIE 86200;MAULAY;4 RUE DE LA MAIRIE 86200, MAULAY;46,97574664;0,217153557;www/black.png
SECOND DEGRE PRIVE;PRIVE;COLLEGE;COLLEGE;LE SACRE-COEUR;NON DEMANDE;4 RUE DE L'ORMEAU 86130;JAUNAY-MARIGNY;4 RUE DE L'ORMEAU 86130, JAUNAY-MARIGNY;46,6845805;0,3696181;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;SAINT NICOLAS;NON DEMANDE;4 RUE DE PROVENCE 86500;MONTMORILLON;4 RUE DE PROVENCE 86500, MONTMORILLON;46,41071662;0,591957968;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;LA GASSOTTE;NON DEMANDE;4 RUE DES TANNERIES 86310;ST SAVIN;4 RUE DES TANNERIES 86310, ST SAVIN;46,5667117;0,8675271;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;LEON EDOUX;NON DEMANDE;4 RUE DES TANNERIES 86310;ST SAVIN;4 RUE DES TANNERIES 86310, ST SAVIN;46,5667117;0,8675271;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;LEON EDOUX;NON DEMANDE;4 RUE DES TANNERIES 86310;ST SAVIN;4 RUE DES TANNERIES 86310, ST SAVIN;46,5667117;0,8675271;www/black.png
PREMIER DEGRE PRIVE;PRIVE;ECOLE;ECOLE PRIMAIRE PRIVEE;SACRE-COEUR;NON DEMANDE;4 RUE DU CHATEAU 86120;BERRIE;4 RUE DU CHATEAU 86120, BERRIE;47,0671583;-0,0700681;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE ELEMENTAIRE PUBLIQUE;GERARD GAUTHIER;NON DEMANDE;4 RUE DU CHEMIN VERT 86380;ST MARTIN LA PALLU;4 RUE DU CHEMIN VERT 86380, ST MARTIN LA PALLU;46,738016;0,31002104;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;CHARLES PERRAULT;NON DEMANDE;4 RUE DU STADE 86240;FONTAINE LE COMTE;4 RUE DU STADE 86240, FONTAINE LE COMTE;46,53209395;0,263372992;www/black.png
PREMIER DEGRE PRIVE;PRIVE;ECOLE;ECOLE PRIMAIRE PRIVEE;SAINT MARTIAL;NON DEMANDE;4 RUE D'YPRES 86501;MONTMORILLON ;4 RUE D'YPRES 86501, MONTMORILLON ;46,4240642;0,8710159;www/black.png
SECOND DEGRE PRIVE;PRIVE;COLLEGE;COLLEGE;SAINT-MARTIAL;NON DEMANDE;4 RUE D'YPRES 86501;MONTMORILLON;4 RUE D'YPRES 86501, MONTMORILLON;46,4240642;0,8710159;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;CUHON;NON DEMANDE;4 RUE JULES FERRY 86110;CUHON;4 RUE JULES FERRY 86110, CUHON;46,7590213;0,0963295;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;CHERVES;NON DEMANDE;4 RUE LA CROIX CHARRAU 86170;CHERVES;4 RUE LA CROIX CHARRAU 86170, CHERVES;46,70445805;0,029786901;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;JEAN ARNAULT;NON DEMANDE;4 RUE MICHEL DESHOULIERES 86300;CHAUVIGNY;ALLEE MICHEL DESHOULIERES, CHAUVIGNY, POITIERS, VIENNE, NOUVELLE-AQUITAINE, FRANCE METROPOLITAINE, 86300, FRANCE;46,56849905;0,643357029;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;ROLAND ET JEANINE HIRSCH;NON DEMANDE;4 RUE MONTCABRE 86160;GENCAY;4 RUE MONTCABRE 86160, GENCAY;46,37533565;0,403094953;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;ROLLAND JANINE HIRSCH;NON DEMANDE;4 RUE MONTCABRE 86160;GENCAY;4 RUE MONTCABRE 86160, GENCAY;46,37533565;0,403094953;www/black.png
