ETABLISSEMENT;PRIVE.PUBLIQUE;DEGRE;DENOMINATION;NOM_ECOLE;STATUT;ADRESSE;VILLE;ADRESS;LATITUDE;LONGITUDE;icon
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE ELEMENTAIRE APPLICATION;ST EXUPERY;NON DEMANDE;13 RUE EVARISTE GALOIS, LA GANTERIE, POITIERS, VIENNE, NOUVELLE-AQUITAINE, FRANCE METROPOLITAINE, 86000, FRANCE;POITIERS;13 RUE EVARISTE GALOIS, LA GANTERIE, POITIERS, VIENNE, NOUVELLE-AQUITAINE, FRANCE METROPOLITAINE, 86000, FRANCE, POITIERS;46,56800011;0,369009474;www/black.png
SECOND DEGRE PUBLIQUE;PUBLIQUE;COLLEGE;COLLEGE;PROSPER MERIMEE;NON DEMANDE;13 RUE POSPER MERIMEE 86310;SAINT-SAVIN;COLLEGE PROSPER MERIMEE, 13, RUE PROSPER MERIMEE, LA GRANGE A RABOT, SAINT-SAVIN, MONTMORILLON, VIENNE, NOUVELLE-AQUITAINE, FRANCE METROPOLITAINE, 86310, FRANCE;46,5632231;0,858274906;www/black.png
SECOND DEGRE PUBLIQUE;PUBLIQUE;COLLEGE;COLLEGE;JEAN MACE;NON DEMANDE;133 RUE DES LOGES 86106;CHATELLERAULT;133 RUE DES LOGES 86106, CHATELLERAULT;46,8185692;0,5230355;www/black.png
PREMIER DEGRE PRIVE;PRIVE;ECOLE;ECOLE PRIMAIRE PRIVEE;SAINT HENRI;NON DEMANDE;138 BOULEVARD BLOSSAC 86100;CHATELLERAULT;138 BOULEVARD BLOSSAC 86100, CHATELLERAULT;46,8208391;0,5446924;www/black.png
PREMIER DEGRE PRIVE;PRIVE;ECOLE;ECOLE PRIMAIRE PRIVEE;NOTRE DAME;NON DEMANDE;14 ALLEE DE LA MOTHE 86150;L ISLE JOURDAIN;14 ALLEE DE LA MOTHE 86150, L ISLE JOURDAIN;46,2317735;0,68246932;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;LEO LAGRANGE;NON DEMANDE;14 AVENUE LEO LAGRANGE 86100;CHATELLERAULT;14 RUE LEO LAGRANGE, 86100 CHATELLERAULT;46,8012106;0,5300686;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;LES P'TITS LOUPS;NON DEMANDE;14 ROUTE DE POITIERS 86170;CISSE;14 ROUTE DE POITIERS 86170, CISSE;46,644476;0,2307375;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;SAIX;NON DEMANDE;14 RUE CLOTAIRE 1ER 86120;SAIX;14 RUE CLOTAIRE 1ER 86120, SAIX;47,1380368;0,0009915;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;MAURICE FOMBEURE;NON DEMANDE;14 RUE D'AQUITAINE 86210;BONNEUIL MATOURS;14 RUE D'AQUITAINE 86210, BONNEUIL MATOURS;46,67957715;0,570399484;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE;ORCHES;NON DEMANDE;14 RUE DES ERABLES 86230;ORCHES;RUE DE ERABLES, LA FOLIE, ORCHES, CHATELLERAULT, VIENNE, NOUVELLE-AQUITAINE, FRANCE METROPOLITAINE, 86230, FRANCE;46,88278877;0,32027984;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;OYRE;NON DEMANDE;15 ROUTE DE SAINT SAUVEUR 86220;OYRE;15 ROUTE DE SAINT SAUVEUR 86220, OYRE;46,87125355;0,628730543;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE ELEMENTAIRE;M. FOMBEURE;NON DEMANDE;15 RUE DE LA TOUR 86800;JARDRES;15 RUE DE LA TOUR 86800, JARDRES;46,56772057;0,565893158;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;NOUAILLE MAUPERTUIS;NON DEMANDE;15 RUE DES ECOLES 86340;NOUAILLE MAUPERTUIS;15 RUE DES ECOLES 86340, NOUAILLE MAUPERTUIS;46,50597022;0,411537636;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;LEIGNE LES BOIS;NON DEMANDE;15 RUE DES ECOLES 86450;LEIGNE LES BOIS;RUE DE LA MAROTELLERIE, LEIGNE-LES-BOIS, CHATELLERAULT, VIENNE, NOUVELLE-AQUITAINE, FRANCE METROPOLITAINE, 86450, FRANCE;46,75879185;0,703487424;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;ANNE FRANK;NON DEMANDE;15 RUE DU 19 MARS 1962 86530;NAINTRE;15 RUE DU 19 MARS 1962 86530, NAINTRE;46,765511;0,4796866;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;JEAN ROSTAND;NON DEMANDE;16 RUE CROIX ROUGE 86320;LUSSAC LES CHATEAUX;16 RUE CROIX ROUGE 86320, LUSSAC LES CHATEAUX;46,4013728;0,728030141;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;BUXEROLLES;NON DEMANDE;17 RUE HIPPOLYTE VERON 86180;BUXEROLLES;17 RUE HIPPOLYTE VERON 86180, BUXEROLLES;46,61234662;0,364556054;www/black.png
SECOND DEGRE PUBLIQUE;PUBLIQUE;COLLEGE;COLLEGE;JEAN MONNET;NON DEMANDE;18 ROUTE DE JAZENEUIL 86600;LUSIGNAN;18 ROUTE DE JAZENEUIL 86600, LUSIGNAN;46,4390103;0,115508848;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;PAYROUX;NON DEMANDE;18 ROUTE DU STADE 86350;PAYROUX;RUE RENE FUMERON, CHEZ VALADE, PAYROUX, MONTMORILLON, VIENNE, NOUVELLE-AQUITAINE, FRANCE METROPOLITAINE, 86350, FRANCE;46,21451341;0,484394165;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;LE CHAT CLOCHE;NON DEMANDE;18 RUE DE LA GUERIELLE 86120;MORTON;18 RUE DE LA GUERIELLE 86120, MORTON;47,1108735;-0,02412504;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;FRANCOIS ALBERT;NON DEMANDE;18 RUE DU VILLARS 86430;ADRIERS;18 RUE DU VILLARS 86430, ADRIERS;46,255277;0,799596613;www/black.png
